timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706555367456,15,Get Flights,200,OK,Flight 1-1,text,true,,1907,194,1,2,http://localhost:8000/Flights_REST/Flights?DepartureCity=London&ArrivalCity=Paris&Date=2024/01/26,15,0,2
1706555367462,17,Get Flight Order,200,OK,Thread Group 2-1,text,true,,464,146,1,2,http://localhost:8000/Flights_REST/FlightOrders/1,17,0,1
1706555367472,8,Get Flight By Number,200,OK,Flight 1-1,text,true,,467,145,1,2,http://localhost:8000/Flights_REST/Flights/11820,8,0,0
1706555367480,159,Update Flight Order,200,OK,Thread Group 2-1,text,false,"The operation lasted too long: It took 159 milliseconds, but should not have lasted longer than 100 milliseconds.",236,445,1,2,http://localhost:8000/Flights_REST/FlightOrders/1,159,0,0
1706555367480,158,Get Flights,200,OK,Flight 1-1,text,false,"The operation lasted too long: It took 158 milliseconds, but should not have lasted longer than 100 milliseconds.",1907,194,1,2,http://localhost:8000/Flights_REST/Flights?DepartureCity=London&ArrivalCity=Paris&Date=2024/01/26,158,0,0
1706555367639,69,Delete Flight Order,200,OK,Thread Group 2-1,text,true,,237,234,2,3,http://localhost:8000/Flights_REST/FlightOrders/100,69,0,0
1706555367639,69,Get Flight By Number,200,OK,Flight 1-1,text,true,,467,145,1,3,http://localhost:8000/Flights_REST/Flights/12534,69,0,0
1706555367664,45,Get Flight Order,200,OK,Thread Group 2-2,text,true,,464,146,2,3,http://localhost:8000/Flights_REST/FlightOrders/1,45,0,1
1706555367708,2,Get Orders,200,OK,Thread Group 2-1,text,true,,3327,192,2,3,http://localhost:8000/Flights_REST/FlightOrders?CustomerName=none&OrderNumber=0&Date=0001/01/01,2,0,0
1706555367709,150,Get Flights,200,OK,Flight 1-1,text,false,"The operation lasted too long: It took 150 milliseconds, but should not have lasted longer than 100 milliseconds.",1907,194,1,3,http://localhost:8000/Flights_REST/Flights?DepartureCity=London&ArrivalCity=Paris&Date=2024/01/26,150,0,0
1706555367710,150,Update Flight Order,200,OK,Thread Group 2-2,text,false,"The operation lasted too long: It took 150 milliseconds, but should not have lasted longer than 100 milliseconds.",236,445,2,3,http://localhost:8000/Flights_REST/FlightOrders/1,150,0,0
1706555367711,150,Reserve Order,307,Temporary Redirect,Thread Group 2-1,text,false,"The operation lasted too long: It took 150 milliseconds, but should not have lasted longer than 100 milliseconds.",2114,454,2,3,http://localhost:8000/Flights_REST/FlightOrders,150,0,0
